Phase,Sprint,Task Name,Type,Priority,Assignee Suggestion,Description,UX Flow,Dev Handoff Notes,Linked Dev Phase,Status,Figma Link,Reviewed By
Phase 4,Sprint 5 – Communication,Notification Center — In-app feed,Screens,MUST,Designer A,"Full notifications page. Grouped by date (Today, Yesterday, This week). Notification types with distinct icons. Mark all read. Notification preferences settings link.",User clicks bell → sees dropdown preview (latest 5) → clicks 'See all' → full page feed → each notification links to relevant entity,"Notification types need distinct visual treatment: deal update, payment, message, price drop, company verified, moderation. Unread vs read visual state. Group actions: mark all read. Infinite scroll. Empty state.",Phase 4,Not Started,,
Phase 4,Sprint 5 – Communication,Notification Preferences Settings,Screens,SHOULD,Designer A,Toggle matrix: notification types (rows) × channels (push / SMS / email) (columns). Save button. Explanation of each notification type.,User goes to account settings → notification preferences → toggles channels per event type → saves,"Some notifications should not be toggleable (security alerts, payment confirmations). Visual grouping: deal notifications, platform notifications, marketing. Explain each with plain language description.",Phase 4,Not Started,,
Phase 5,Sprint 6 – Intelligence,Seller Analytics Dashboard,Screens,MUST,Designer A,"Stats cards (views, contacts, conversion, GMV). Charts: views over time, deal funnel. Listing performance table. Date range selector. Market price comparison widget.",Seller navigates to /account/analytics → sees performance summary → selects date range → drills into listing-level stats,"Charts: line chart for views over time, funnel chart for deal stages, bar chart for top listings. Date range: last 7 / 30 / 90 days + custom. Market price: 'Your price vs market average' bar comparison. Mobile: scroll through stat cards, charts full-width.",Phase 5,Not Started,,
Phase 5,Sprint 6 – Intelligence,Price History Chart on Listing Page,Screens,SHOULD,Designer B,Inline chart on listing detail showing price over time. 'Price dropped X% since listing' callout. Market average line overlay.,User viewing listing → scrolls to price section → sees price history chart → understands price trend before making offer,"Chart: line chart, 90-day default view. Market average: dashed line overlay. Price drop callout: highlighted annotation on drop point. Minimal, doesn't distract from main CTA.",Phase 5,Not Started,,
Phase 5,Sprint 6 – Intelligence,Services Marketplace — Browse & Order,Screens,SHOULD,Designer B,"Service provider cards (logistics, installation, maintenance, insurance). Filter by type and region. Service detail page. Order/contact flow.",User in deal flow sees 'Add services' CTA → browses service providers → selects logistics provider → books delivery → linked to deal,"Service cards: different icon per type, rating, price range, service area. Service detail: description, pricing table, past work photos, reviews. Order flow: similar to deal initiation.",Phase 5,Not Started,,
Phase 6,Sprint 7 – Integrity,Subscription & Plans Page,Screens,MUST,Designer A,Plan comparison table (Free / Basic / Pro / Enterprise). Feature checklist per plan. Current plan highlighted. Upgrade CTA. Billing history.,Seller navigates to /account/subscription → sees plans → compares features → clicks upgrade → payment flow → plan activated → listing limits increased,"Plan cards: vertical comparison table. Feature rows: listing limit, featured placements, analytics access, commission rate, support level. Current plan: highlighted with 'Current' badge. Upgrade: inline payment or redirect to payment flow. Billing history: invoice list with download.",Phase 6,Not Started,,
Phase 6,Sprint 7 – Integrity,Dispute Filing Flow,Screens,MUST,Designer B,"Dispute form: reason selector, description, evidence upload. Confirmation screen. Dispute status page.",Buyer or seller in active deal sees issue → clicks 'File dispute' → selects reason → describes issue → uploads evidence → submits → dispute status shown in deal page,"Reason selector: predefined types (equipment not as described, non-delivery, payment issue, other). Evidence upload: same component as listing media upload. Warning: filing dispute pauses deal and escrow. Status page: filed → under review → resolved with decision shown.",Phase 6,Not Started,,
Phase 6,Sprint 7 – Integrity,Admin Panel — Moderation Queue,Screens,MUST,Designer A,"Split view: listing queue left, preview right. Approve/reject buttons. Rejection reason modal. Filter by category, date, seller. Stats: items in queue, avg review time.",Admin logs in → separate admin layout → sees moderation queue → clicks listing → reviews content → approves or rejects with reason → next item,"Listing preview: all content visible without leaving queue. Approve: one click, green confirmation. Reject: required reason from predefined list + optional custom note. Keyboard shortcuts hint. Batch approve (after single review).",Phase 6,Not Started,,
Phase 6,Sprint 7 – Integrity,Admin Panel — Company Verification Queue,Screens,MUST,Designer A,"Queue of pending companies. Document viewer (PDF inline, image zoom). Company info panel. Approve/reject with notes. History of previous decisions.",Admin sees verification queue → clicks company → views submitted documents inline → checks БИН format → approves or requests additional docs → company notified,Document viewer: PDF rendered inline (no download required to review). Image: zoomable. Multiple documents: tabbed. Notes: visible to company owner after decision. Flag for follow-up option.,Phase 6,Not Started,,
Phase 6,Sprint 7 – Integrity,Admin Panel — Platform Analytics,Screens,MUST,Designer B,"KPI cards (GMV, active users, listings, open disputes). Charts: GMV over time, new registrations, deal funnel. Regional heatmap (KZ map). Top categories table.",Admin goes to /admin/analytics → sees platform health overview → can filter by date range → drills into specific metric,"KZ map: oblast-level heat by listing density or GMV. Charts: consistent style with seller analytics. Real-time counters for active users, open disputes. Export data as CSV button.",Phase 6,Not Started,,
Phase 7,Sprint 8 – Hardening,Empty States — All screens,Design System,MUST,Designer B,"Design empty states for every major screen: no listings, no deals, no messages, no notifications, no search results, no favorites, no reviews.",User encounters empty state → sees illustration + clear explanation + relevant CTA,"Each empty state: custom illustration (not generic), 1-line explanation, 1 CTA. Consistent illustration style across all. No lorem ipsum — real copy in RU.",Phase 7,Not Started,,
Phase 7,Sprint 8 – Hardening,Error States & Edge Cases,Design System,MUST,Designer A,"404 page, 500 page, network error, session expired, permission denied, maintenance mode screens.",User hits broken link → 404 page → back to home CTA. API fails → inline error with retry. Session expires → modal asking to re-login (preserve current page state).,All error messages in plain language (no technical codes shown to users). Retry mechanisms visible. Support contact link on persistent errors.,Phase 7,Not Started,,
Phase 7,Sprint 8 – Hardening,Mobile Responsive Audit — All screens,Screens,MUST,Designer B,"Review and fix all screens at 375px (iPhone SE), 390px (iPhone 14), 768px (iPad). Document breakpoint behavior for dev handoff.",User opens site on mobile → all layouts adapt → no horizontal scroll → touch targets ≥ 44px → bottom navigation on mobile,"Touch targets: minimum 44×44px. Bottom nav on mobile for main sections. Forms: full-width inputs, large tap targets. Modals: bottom sheets on mobile. Tables: horizontal scroll with frozen first column.",Phase 7,Not Started,,
Phase 7,Sprint 8 – Hardening,Figma Component Library — Final Audit,Design System,MUST,Designer A,"Final pass: all components have all states, correct auto-layout, exported with correct naming for dev handoff. Component descriptions filled in Figma.",N/A — library work,"All components: variants panel complete, no detached instances in screens, description field filled with usage guidance. Name all layers properly — devs use these names as CSS class references.",Phase 7,Not Started,,
Phase 7,Sprint 8 – Hardening,KK Language Layout Audit,Screens,SHOULD,Designer B,"Review all screens with Kazakh text (longer strings than RU). Fix overflow issues, truncation, layout breaks caused by longer text.",User switches to KK language → all text switches → no layout breaks,"Kazakh words average 30-40% longer than Russian. Check: button labels, nav items, form labels, card titles, tab labels. All must wrap or truncate gracefully.",Phase 7,Not Started,,

